Row,min,max,nG,adjrsquare,T1,T2,T3,TVol,CVol,C2Vol,DVol,VFrac,VFrac2,MeanTConc,MeanCConc,MeanC2Conc,MeanDConc,MaxCConc,MaxC2Conc,MaxDConc,MedianCConc,MedianC2Conc,MedianDConc
D3_10.czi,30,147,2,0.956418914,34.55660183,142.6387953,0,1549249,0,0,1549249,0,0,47.40215625,0,0,47.40215625,0,0,131.6566008,0,0,44.65660082
D3_11.czi,30,1915,4,0.936713218,72.5556306,638.6949327,1151.50226,1843158,19738,0,1823420,1.070879436,0,189.3921103,957.4721037,0,181.0778641,1882.870776,0,666.8707763,834.8707763,0,166.8707763
D3_12.czi,30,1839,4,0.848755134,68.64927601,604.1600062,1305.008475,2157690,31939,0,2125751,1.480240442,0,210.6844123,878.1736054,0,200.6555155,1810.777131,0,641.7771309,780.7771309,0,197.7771309
D3_13.czi,30,1639,3,0.954120721,74.28879805,580.603008,1219.705901,3289213,26183,0,3263030,0.796026283,0,183.733519,791.8253798,0,178.8541066,1605.123665,0,607.1236649,701.1236649,0,171.1236649
D3_14.czi,30,1072,2,0.893381437,82.42635818,517.8562719,0,1191237,2653,0,1188584,0.222709671,0,148.3770235,607.9944286,0,147.3511263,1030.000083,0,513.0000826,563.0000826,0,138.0000826
D3_15.czi,30,1061,2,0.899964285,74.6281267,701.2497581,0,2682739,2851,0,2679888,0.106271985,0,199.989018,801.9222411,0,199.348651,1026.769663,0,700.769663,784.769663,0,187.769663
D3_16.czi,30,551,2,0.776782937,73.12257986,576.5625338,0,1937941,0,0,1937941,0,0,173.6003272,0,0,173.6003272,0,0,516.3038372,0,0,167.3038372
D3_17.czi,30,2410,4,0.964687326,76.70600072,570.6912903,1436.396103,1643226,122525,0,1520701,7.456369361,0,249.3462573,1096.173492,0,181.1162061,2388.661213,0,603.6612133,896.6612133,0,161.6612133
D3_18.czi,30,2779,4,0.969183428,217.523316,966.4192649,1683.987546,2288943,132386,0,2156557,5.783717637,0,434.0411056,1433.046104,0,372.7145209,2729.182311,0,1007.182311,1316.182311,0,351.1823114
D3_19.czi,30,2119,4,0.981753287,149.0651454,675.1096592,1436.396103,751779,42554,0,709225,5.660440103,0,268.9853454,991.5600851,0,225.6303516,2068.712715,0,685.7127147,888.7127147,0,195.7127147
D3_20.czi,30,2631,4,0.973929183,75.80172138,650.147174,1436.396134,4119162,315510,0,3803652,7.65956765,0,249.4905777,1181.178489,0,172.2077839,2599.475482,0,682.4754817,1038.475482,0,139.4754817
D3_21.czi,30,2414,4,0.959720709,192.7502075,819.6928289,1599.650799,1859734,68884,0,1790850,3.703970568,0,383.4747325,1183.058419,0,352.7192126,2388.95542,0,849.95542,1078.95542,0,340.95542
D3_22.czi,30,781,2,0.962044522,61.56825169,336.7115673,0,1196734,3591,0,1193143,0.300066681,0,104.3481413,455.8048205,0,103.2903629,759.858009,0,340.858009,423.858009,0,95.85800901
D3_23.czi,30,945,3,0.972948276,78.91755863,461.5592957,1436.396103,1063547,7783,0,1055764,0.731796526,0,130.9968313,560.5894624,0,127.829912,904.5094161,0,466.5094161,523.5094161,0,115.5094161
D3_24.czi,31,195,2,0.916088288,37.58932011,198.2023916,0,1060534,0,0,1060534,0,0,62.32761335,0,0,62.32761335,0,0,178.623883,0,0,59.62388296
D3_25.czi,30,2053,4,0.973748959,203.0147422,791.6533651,1436.396103,654029,32388,0,621641,4.952073991,0,364.7758828,1036.639026,0,329.7712684,2015.690867,0,812.6908666,941.6908666,0,302.6908666
D3_26.czi,30,2523,4,0.973471925,182.9748059,592.7114693,1436.396103,671973,58395,0,613578,8.690081298,0,330.877773,1036.298538,0,263.74198,2491.041821,0,647.0418213,885.0418213,0,247.0418213
D3_27.czi,30,1817,4,0.963871685,68.99340897,795.1906501,1441.436307,1193186,50929,0,1142257,4.268320279,0,231.1382408,1079.523889,0,193.3118737,1786.432998,0,834.4329979,1007.432998,0,145.4329979
D3_28.czi,30,859,2,0.93354881,70.33696515,317.7310551,0,2101712,12710,0,2089002,0.604745084,0,114.6721921,385.7583941,0,113.0228373,829.085302,0,325.085302,353.085302,0,112.085302
D3_29.czi,30,1979,4,0.943632,68.97504847,569.71543,1436.396103,2035918,55746,0,1980172,2.738125995,0,190.7295027,859.146063,0,171.9121729,1950.451358,0,586.4513584,760.4513584,0,160.4513584
D3_30.czi,30,205,2,0.80145195,40.58279818,196.6179518,0,1470528,0,0,1470528,0,0,65.46032457,0,0,65.46032457,0,0,183.630407,0,0,65.63040702
D3_31.czi,30,1252,3,0.949886348,63.43186749,419.0416287,1436.396103,1573835,28835,0,1545000,1.832148859,0,142.5732537,621.4963268,0,133.6349062,1228.994575,0,459.9945755,556.9945755,0,124.9945755
D3_32.czi,30,822,2,0.970699461,66.98804281,356.0894395,0,1941610,10176,0,1931434,0.524101133,0,118.3176813,435.8365182,0,116.6447938,795.4382282,0,366.4382282,409.4382282,0,108.4382282
D3_33.czi,30,1928,4,0.966938956,75.22738264,512.1198222,1436.396103,2504675,60226,0,2444449,2.404543504,0,163.8386968,851.1998046,0,146.9035879,1893.199024,0,546.1990242,734.1990242,0,134.1990242
D3_8.czi,30,751,2,0.941048165,68.97833892,509.9428074,0,2072720,2457,0,2070263,0.11853989,0,149.2129345,545.814064,0,148.742246,722.4469497,0,529.4469497,532.4469497,0,138.4469497
D3_9.czi,30,1187,3,0.956819321,67.5596159,609.3514603,1173.107356,1788740,6785,0,1781955,0.379317285,0,169.9479309,758.0407086,0,167.7086995,1159.866796,0,633.8667955,723.8667955,0,149.8667955
D4_1.czi,27,3676,4,0.968980243,230.7945121,1048.702938,1638.844045,1802803,152864,0,1649939,8.479240383,0,514.5958719,1702.795326,0,404.5112437,3612.911115,0,1058.911115,1448.911115,0,367.9111154
D4_10.czi,30,2395,4,0.979465824,208.7949933,638.2677431,1436.396103,1403114,45665,0,1357449,3.254546673,0,308.7494613,903.4131416,0,288.744793,2353.910634,0,647.9106342,755.9106342,0,267.9106342
D4_11.czi,30,935,2,0.956195434,66.79317565,382.8232418,0,3527551,8541,0,3519010,0.242122651,0,125.1355199,505.8516462,0,124.2114826,908.6296581,0,389.6296581,452.6296581,0,118.6296581
D4_12.czi,30,2049,4,0.986973056,181.294055,421.8053876,1436.396103,1041460,75153,0,966307,7.216119678,0,237.2561069,712.6609647,0,200.2822453,2006.572425,0,428.5724253,577.5724253,0,189.5724253
D4_13.czi,30,1999,3,0.920686037,69.42667076,669.8880014,1630.650529,3713321,49803,0,3663518,1.34119835,0,213.1196679,991.1520263,0,202.5428547,1969.992618,0,699.9926183,918.9926183,0,192.9926183
D4_14.czi,30,361,2,0.962664193,35.38113407,170.5233952,0,2167752,30452,0,2137300,1.40477324,0,58.85815011,197.9558377,0,56.87630256,344.8320692,0,177.8320692,185.8320692,0,53.83206918
D4_15.czi,30,701,2,0.976446139,70.01006803,215.8894333,0,1495897,24994,0,1470903,1.670836963,0,82.73005953,238.1317657,0,80.08942977,671.4144335,0,207.4144335,217.4144335,0,76.41443352
D4_16.czi,30,1549,4,0.953611709,69.70205833,616.3932522,1243.569859,3483558,55330,0,3428228,1.58831861,0,190.3579792,871.3791832,0,179.3666147,1519.724349,0,639.7243485,795.7243485,0,166.7243485
D4_17.czi,31,2706,4,0.971507131,77.84618939,606.5999548,1489.453499,4081107,341308,0,3739799,8.363123045,0,254.970397,1256.665677,0,163.5519512,2672.705981,0,634.7059806,1132.705981,0,137.7059806
D4_18.czi,30,169,2,0.973182565,14.73135409,170.6266962,0,4217105,0,0,4217105,0,0,41.25401136,0,0,41.25401136,0,0,152.3899425,0,0,37.38994253
D4_19.czi,31,2680,4,0.982882281,221.9366713,462.7953881,1436.396103,887663,52916,0,834747,5.961271338,0,264.6795,772.1090235,0,232.5126989,2625.768956,0,456.7689562,587.7689562,0,221.7689562
D4_2.czi,27,227,2,0.90982904,37.65204367,197.6129165,0,2221604,96,0,2221508,0.004321202,0,61.8951457,190.3424077,0,61.889595,208.5611577,0,192.5611577,190.5611577,0,59.56115774
D4_3.czi,28,1208,2,0.946707896,82.42640317,688.057554,0,2555537,4923,0,2550614,0.192640529,0,166.7137811,807.0810482,0,165.4777932,1166,0,692,772,0,144
D4_4.czi,28,2886,4,0.983166794,213.026483,846.765602,1437.078646,1871664,125576,0,1746088,6.709323896,0,408.0086893,1199.760089,0,351.0671298,2840.679134,0,861.6791344,996.6791344,0,318.6791344
D4_5.czi,28,1324,3,0.926306664,68.92742379,746.8650726,1222.569098,2540833,10966,0,2529867,0.431590742,0,209.1846092,892.5784441,0,206.2223599,1295.499017,0,777.4990168,858.4990168,0,187.4990168
D4_6.czi,30,1481,2,0.908039017,67.03339244,580.1173576,0,3078515,17123,0,3061392,0.556209731,0,192.371054,800.7057896,0,188.9685117,1454.393928,0,633.3939283,734.3939283,0,187.3939283
D4_7.czi,30,948,3,0.978295957,35.96440917,464.8711182,1436.396103,1402764,4122,0,1398642,0.293848431,0,102.6462077,553.3546002,0,101.317905,930.6151533,0,496.6151533,513.6151533,0,79.61515328
D4_8.czi,30,2547,4,0.976276592,128.7064741,928.4705782,1654.462453,2246106,118993,0,2127113,5.297746411,0,341.2101716,1384.356372,0,282.8554458,2508.959559,0,964.9595588,1263.959559,0,243.9595588
D4_9.czi,30,2133,4,0.989476799,236.4227794,528.7597925,1436.396103,1439318,52637,0,1386681,3.657079256,0,259.1989771,747.1507357,0,240.6768248,2064.282848,0,514.2828481,633.2828481,0,230.2828481
