Line #,% PHB/gFW
WT,0.001022709
-RGG,0.004019759
-RGG,0.00296798
-RGG,0.007051371
-RGG,0.003087365
-RGG,0.003247504
+RGG,0.017759729
+RGG,0.034488381
+RGG,0.034539539
+RGG,0.021599576
+RGG,0.010273878
-RGG,0.004628177
-RGG,0.008767925
-RGG,0.01201285
-RGG,0.003565199
+RGG,0.020592054
+RGG,0.024356617
+RGG,0.019704189
+RGG,0.037754876
+RGG,0.038242181
+RGG,0.020321523
WT,0.000662183
WT,0.000630105
WT,0.000599012
WT,0.000561936
WT,0.000407366
WT,0.000320465
WT,0.000435031
WT,0.000413623
WT,0.000403653
-RGG,0.002625554
