Name,Cond,Channel,NormSig
CMS,-RGG,mClover3,11726.65732
CMS,-RGG,mCherry,14906.9352
CMS,+RGG,mClover3,83394.28796
CMS,+RGG,mCherry,114195.8796
CMS,+RGG,mClover3,114753.2976
CMS,+RGG,mCherry,115162.2168
CMS,-RGG,mClover3,15421.73016
CMS,-RGG,mCherry,14731.18534
CMS,-RGG,mClover3,8293.393806
CMS,-RGG,mCherry,9096.534667
CMS,-RGG,mClover3,13146.68814
CMS,-RGG,mCherry,6175.118959
CMS,-RGG,mClover3,4954.117444
CMS,-RGG,mCherry,7838.056622
CMS,+RGG,mClover3,65327.19874
CMS,+RGG,mCherry,74308.40202
CMS,+RGG,mClover3,75579.26009
CMS,+RGG,mCherry,84541.26752
CMS,+RGG,mClover3,21596.30165
CMS,+RGG,mCherry,29611.00502
